name,instance,k,formulation,status,objVal,bestBound,gap,runtime,n
g01:0.2:dcc,g01,2,DCC,OPTIMAL,46,46.0,0.0,0.009,1
g01:0.5:dcc,g01,5,DCC,OPTIMAL,477,477.0,0.0,0.010,1
g02:0.2:dcc,g02,4,DCC,OPTIMAL,373,373.0,0.0,0.033,1
g02:0.5:dcc,g02,10,DCC,OPTIMAL,1390,1390.0,0.0,0.014,1
g03:0.2:dcc,g03,10,DCC,OPTIMAL,725,725.0,0.0,0.025,1
g03:0.5:dcc,g03,25,DCC,OPTIMAL,3074,3074.0,0.0,0.317,1
g04:0.2:dcc,g04,14,DCC,OPTIMAL,909,909.0,0.0,0.532,1
g04:0.5:dcc,g04,35,DCC,OPTIMAL,3292,3292.0,0.0,0.474,1
g05:0.2:dcc,g05,20,DCC,OPTIMAL,1235,1235.0,0.0,0.227,1
g05:0.5:dcc,g05,50,DCC,OPTIMAL,4898,4898.0,0.0,1.317,1
g06:0.2:dcc,g06,40,DCC,OPTIMAL,2068,2068.0,0.0,7.499,6
g06:0.5:dcc,g06,100,DCC,OPTIMAL,6705,6705.0,0.0,12.268,92
g07:0.2:dcc,g07,60,DCC,OPTIMAL,1335,1335.0,0.0,0.826,1
g07:0.5:dcc,g07,150,DCC,OPTIMAL,4534,4534.0,0.0,9.795,6
g08:0.2:dcc,g08,80,DCC,OPTIMAL,1620,1620.0,0.0,7.923,1
g08:0.5:dcc,g08,200,DCC,OPTIMAL,5787,5787.0,0.0,132.213,412
g09:0.2:dcc,g09,200,DCC,OPTIMAL,2289,2289.0,0.0,263.772,56
g09:0.5:dcc,g09,500,DCC,MEM_LIMIT,inf,7569.0,inf,3248.700,377
g10:0.2:dcc,g10,400,DCC,OPTIMAL,4182,4182.0,0.0,1774.074,92
g10:0.5:dcc,g10,1000,DCC,TIME_LIMIT,inf,14957.0,inf,3600.000,112
