name,instance,k,formulation,status,objVal,bestBound,gap,runtime,n
g01:0.2:dcc,g01,2,DCC,OPTIMAL,46,46.0,0.0,0.040,1
g01:0.5:dcc,g01,5,DCC,OPTIMAL,477,477.0,0.0,0.010,1
g02:0.2:dcc,g02,4,DCC,OPTIMAL,373,373.0,0.0,0.019,1
g02:0.5:dcc,g02,10,DCC,OPTIMAL,1390,1390.0,0.0,0.014,1
g03:0.2:dcc,g03,10,DCC,OPTIMAL,725,725.0,0.0,0.019,1
g03:0.5:dcc,g03,25,DCC,OPTIMAL,3074,3074.0,0.0,0.207,1
g04:0.2:dcc,g04,14,DCC,OPTIMAL,909,909.0,0.0,0.141,1
g04:0.5:dcc,g04,35,DCC,OPTIMAL,3292,3292.0,0.0,0.352,1
g05:0.2:dcc,g05,20,DCC,OPTIMAL,1235,1235.0,0.0,0.318,1
g05:0.5:dcc,g05,50,DCC,OPTIMAL,4898,4898.0,0.0,2.147,1
g06:0.2:dcc,g06,40,DCC,OPTIMAL,2068,2068.0,0.0,2.924,154
g06:0.5:dcc,g06,100,DCC,OPTIMAL,6705,6705.0,0.0,5.330,50
g07:0.2:dcc,g07,60,DCC,OPTIMAL,1335,1335.0,0.0,1.145,1
g07:0.5:dcc,g07,150,DCC,OPTIMAL,4534,4534.0,0.0,17.194,6
g08:0.2:dcc,g08,80,DCC,OPTIMAL,1620,1620.0,0.0,5.474,1
g08:0.5:dcc,g08,200,DCC,OPTIMAL,5787,5787.0,0.0,144.874,629
g09:0.2:dcc,g09,200,DCC,OPTIMAL,2289,2289.0,0.0,394.451,1430
g09:0.5:dcc,g09,500,DCC,TIME_LIMIT,inf,7570.0,inf,3600.000,484
g10:0.2:dcc,g10,400,DCC,OPTIMAL,4182,4182.0,0.0,1614.842,1177
g10:0.5:dcc,g10,1000,DCC,TIME_LIMIT,inf,14958.0,inf,3600.000,134
